eco	name	fen	moves	whiteWins	blackWins	draws
A04	Zukertort Opening: Ross Gambit	rnbqkbnr/pppp1ppp/8/4p3/8/5N2/PPPPPPPP/RNBQKB1R w KQkq -	g1f3 e7e5	17	11	1
A04	Zukertort Opening: Shabalov Gambit	rnbqkbnr/3p1ppp/p3p3/1pp5/2P5/2N2NP1/PP1PPP1P/R1BQKB1R w KQkq -	g1f3 e7e6 c2c4 a7a6 b1c3 c7c5 g2g3 b7b5	1	1	0
A04	Zukertort Opening: Sicilian Invitation	rnbqkbnr/pp1ppppp/8/2p5/8/5N2/PPPPPPPP/RNBQKB1R w KQkq -	g1f3 c7c5	13683	11244	13937
A04	Zukertort Opening: Slav Invitation	rnbqkbnr/pp1ppppp/2p5/8/8/5N2/PPPPPPPP/RNBQKB1R w KQkq -	g1f3 c7c6	311	161	186
A04	Zukertort Opening: Speelsmet Gambit	rnbqkbnr/pp1ppppp/8/8/3p4/4PN2/PPP2PPP/RNBQKB1R b KQkq -	g1f3 c7c5 d2d4 c5d4 e2e3	0	0	0
A04	Zukertort Opening: St. George Defense	rnbqkbnr/1ppppppp/p7/8/8/5N2/PPPPPPPP/RNBQKB1R w KQkq -	g1f3 a7a6	11	12	4
A04	Zukertort Opening: The Walrus	r1bqkbnr/ppp2ppp/2p5/8/8/8/PPPPPPPP/RNBQKB1R w KQkq -	g1f3 e7e5 f3e5 b8c6 e5c6 d7c6	2	0	0
A04	Zukertort Opening: Vos Gambit	rnbqkbnr/ppp2ppp/3p4/4p3/3P4/5N2/PPP1PPPP/RNBQKB1R w KQkq -	g1f3 d7d6 d2d4 e7e5	0	1	1
A04	Zukertort Opening: Wade Defense	rn1qkbnr/ppp1pppp/3p4/8/4P1b1/5N2/PPPP1PPP/RNBQKB1R w KQkq -	g1f3 d7d6 e2e4 c8g4	10	10	10
A04	Zukertort Opening: Ware Defense	rnbqkbnr/1ppppppp/8/p7/8/5N2/PPPPPPPP/RNBQKB1R w KQkq -	g1f3 a7a5	1	0	0
A05	King's Indian Attack	rnbqkb1r/ppp1pppp/5n2/3p4/8/5NP1/PPPPPP1P/RNBQKB1R w KQkq -	g1f3 g8f6 g2g3 d7d5	4385	3433	4523
A05	King's Indian Attack: Smyslov Variation	rnbqkb1r/pppppp1p/5np1/8/1P6/5NP1/P1PPPP1P/RNBQKB1R b KQkq -	g1f3 g8f6 g2g3 g7g6 b2b4	280	169	194
A05	King's Indian Attack: Spassky Variation	rnbqkb1r/p1pppppp/5n2/1p6/8/5NP1/PPPPPP1P/RNBQKB1R w KQkq -	g1f3 g8f6 g2g3 b7b5	768	823	849
A05	King's Indian Attack: Symmetrical Defense	rnbqkb1r/pppppp1p/5np1/8/8/5NP1/PPPPPP1P/RNBQKB1R w KQkq -	g1f3 g8f6 g2g3 g7g6	8027	5388	7755
A05	King's Indian Attack: Wahls Defense	rnbq1rk1/ppp1ppbp/5np1/3p4/8/3P1NP1/PPP1PPBP/RNBQ1RK1 w - -	g1f3 g8f6 g2g3 g7g6 f1g2 f8g7 e1g1 e8g8 d2d3 d7d5	415	437	409
A05	Polish Opening: Zukertort System	rnbqkb1r/pppppppp/5n2/8/1P6/5N2/P1PPPPPP/RNBQKB1R b KQkq -	g1f3 g8f6 b2b4	132	127	99
A05	Reti Opening	rnbqkb1r/pppppppp/5n2/8/8/5N2/PPPPPPPP/RNBQKB1R w KQkq -	g1f3 g8f6	61956	39755	58858
A05	Zukertort Opening: Double Fianchetto Attack	rnbq1rk1/ppp1ppbp/3p1np1/8/8/1P3NP1/PBPPPPBP/RN1Q1RK1 b - -	g1f3 g8f6 g2g3 g7g6 b2b3 f8g7 c1b2 e8g8 f1g2 d7d6 e1g1	23	36	21
A05	Zukertort Opening: Lemberger Gambit	rnbqkb1r/pppppppp/5n2/8/4P3/5N2/PPPP1PPP/RNBQKB1R b KQkq -	g1f3 g8f6 e2e4	1	4	3
A05	Zukertort Opening: Myers Polish Attack	rnbqkb1r/pppppp1p/5np1/8/PP6/5N2/2PPPPPP/RNBQKB1R b KQkq -	g1f3 g8f6 a2a4 g7g6 b2b4	0	0	0
A05	Zukertort Opening: Nimzo-Larsen Variation	rnbqkb1r/pppppppp/5n2/8/8/1P3N2/P1PPPPPP/RNBQKB1R b KQkq -	g1f3 g8f6 b2b3	2034	1779	1823
A05	Zukertort Opening: Quiet System	rnbqkb1r/pppppppp/5n2/8/8/4PN2/PPPP1PPP/RNBQKB1R b KQkq -	g1f3 g8f6 e2e3	429	352	343
A05	Zukertort Opening	r1bqkb1r/pppppppp/2n2n2/8/8/2N2N2/PPPPPPPP/R1BQKB1R w KQkq -	g1f3 g8f6 b1c3 b8c6	16	2	8
A06	Nimzo-Larsen Attack: Classical Variation	rnbqkbnr/ppp1pppp/8/3p4/8/1P3N2/P1PPPPPP/RNBQKB1R b KQkq -	g1f3 d7d5 b2b3	1798	1534	1556
A06	Nimzo-Larsen Attack: Norfolk Gambit	rnbqkb1r/pp2pppp/5n2/2pp4/4P3/1P3N2/PBPP1PPP/RN1QKB1R b KQkq -	g1f3 d7d5 b2b3 g8f6 c1b2 c7c5 e2e4	0	0	0
A06	Nimzo-Larsen Attack: Norfolk Gambit	rnbqkbnr/pp2pppp/8/2pp4/4P3/1P3N2/P1PP1PPP/RNBQKB1R b KQkq -	g1f3 d7d5 b2b3 c7c5 e2e4	4	7	0
A06	Reti Opening	rnbqkbnr/ppp1pppp/8/3p4/8/5N2/PPPPPPPP/RNBQKB1R w KQkq -	g1f3 d7d5	37196	25284	34501
A06	Zukertort Opening: Ampel Variation	rnbqkbnr/ppp1pppp/8/3p4/8/5N2/PPPPPPPP/RNBQKBR1 b Qkq -	g1f3 d7d5 h1g1	0	1	0
A06	Zukertort Opening: Old Indian Attack	rnbqkbnr/ppp1pppp/8/3p4/8/3P1N2/PPP1PPPP/RNBQKB1R b KQkq -	g1f3 d7d5 d2d3	217	241	148
A06	Zukertort Opening: Pachman Gambit	rnbqkbnr/pp2pppp/8/2p5/2p5/1P2PN2/P2P1PPP/RNBQKB1R b KQkq -	g1f3 d7d5 e2e3 c7c5 c2c4 d5c4 b2b3	0	0	0
A06	Zukertort Opening: Regina-Nu Gambit	rnbqkbnr/pp2pppp/8/2p5/2p5/1PN2N2/P2PPPPP/R1BQKB1R b KQkq -	g1f3 d7d5 b2b3 c7c5 c2c4 d5c4 b1c3	0	0	0
